order_id,product_id,customer_id,category,subcategory,product_price,discount_percent,final_price,order_channel,payment_method,delivery_days,customer_tenure_days,num_prior_orders,num_prior_returns,customer_segment,region,weather_at_order,returned
O-00001,P-4896,C-8726,Clothing,Kurta,13160.0,21.0,10396.4,App,Credit Card,2,197,26,9,Loyal,West,Hot,0
O-00002,P-4336,C-2642,Beauty,Perfume,9117.0,25.0,6837.75,Mobile Web,Wallet,6,810,41,5,Regular,South,Clear,0
O-00003,P-3490,C-6684,Shoes,Running,17194.0,41.0,10144.46,App,Wallet,7,715,3,9,Regular,West,Hot,1
O-00004,P-1394,C-5918,Beauty,Serum,9441.0,24.0,7175.16,App,Credit Card,7,1845,37,3,Loyal,South,Rainy,0
O-00005,P-5166,C-2169,Clothing,Jeans,15954.0,9.0,14518.14,Mobile Web,UPI,3,461,28,6,Loyal,South,Clear,0
O-00006,P-8489,C-4916,Beauty,Cream,6384.0,38.0,3958.08,Mobile Web,Wallet,4,1797,14,2,Loyal,East,Clear,0
O-00007,P-8022,C-6982,Beauty,Cream,15977.0,39.0,9745.97,Website,Credit Card,3,1563,27,4,Regular,East,Clear,1
O-00008,P-5239,C-8694,Clothing,Jeans,13434.0,32.0,9135.12,Website,COD,7,1153,31,5,Regular,North,Hot,1
O-00009,P-9843,C-2931,Home,Cookware,7080.0,21.0,5593.2,App,UPI,9,1708,1,2,Loyal,North,Cold,0
O-00010,P-6012,C-5544,Electronics,Headphone,13305.0,6.0,12506.7,Mobile Web,Wallet,6,824,20,4,Loyal,South,Clear,1
O-00011,P-7270,C-5156,Clothing,Shirt,15476.0,36.0,9904.64,Mobile Web,COD,9,1007,46,1,Regular,East,Rainy,1
O-00012,P-6671,C-6464,Footwear,Sneakers,6169.0,34.0,4071.54,Website,Wallet,1,691,5,3,Loyal,South,Cold,0
O-00013,P-3371,C-8007,Footwear,Sneakers,15331.0,48.0,7972.12,App,Credit Card,8,904,36,2,New,North,Rainy,0
O-00014,P-3753,C-8277,Shoes,Formal,4206.0,36.0,2691.84,Website,Credit Card,2,931,42,0,Loyal,South,Hot,0
O-00015,P-1852,C-6847,Electronics,Laptop,2976.0,29.0,2112.96,Website,COD,7,837,39,0,New,South,Clear,1
O-00016,P-6288,C-8140,Electronics,Laptop,2247.0,8.0,2067.24,App,UPI,9,1979,29,4,Regular,East,Hot,1
O-00017,P-5203,C-8043,Clothing,Jacket,8479.0,24.0,6444.04,App,COD,3,978,33,4,Regular,West,Clear,0
O-00018,P-3983,C-5904,Home,Lamp,5486.0,47.0,2907.58,Website,Wallet,4,576,1,3,Loyal,North,Cold,1
O-00019,P-6993,C-7049,Electronics,Laptop,6450.0,5.0,6127.5,App,UPI,3,1322,36,7,Loyal,West,Rainy,0
O-00020,P-1336,C-2271,Clothing,Jacket,4758.0,11.0,4234.62,Website,Credit Card,4,626,41,4,Loyal,West,Rainy,0
O-00021,P-9148,C-3303,Home,Cookware,12512.0,25.0,9384.0,Mobile Web,Wallet,2,337,26,0,New,South,Cold,0
O-00022,P-9016,C-3010,Shoes,Running,15022.0,42.0,8712.76,Mobile Web,COD,5,944,15,0,Loyal,South,Hot,1
